Pick'n'place coordinates exported from Keyboard_C64_HotSwap.brd on 21.05.2026 15:38

Value	Name	Footprint	x(inch)	y(inch)	theta	Side
MXHOTSWAP	SW10	CHERRYMX_HOTSWAP	7.439	3.388	0	top
MXHOTSWAP	SW11	CHERRYMX_HOTSWAP	8.189	3.388	0	top
MXHOTSWAP	SW12	CHERRYMX_HOTSWAP	8.939	3.388	0	top
MXHOTSWAP	SW13	CHERRYMX_HOTSWAP	9.688	3.388	0	top
MXHOTSWAP	SW14	CHERRYMX_HOTSWAP	10.438	3.388	0	top
MXHOTSWAP	SW15	CHERRYMX_HOTSWAP	11.187	3.388	0	top
MXHOTSWAP	SW16	CHERRYMX_HOTSWAP	11.937	3.388	0	top
MXHOTSWAP	SW17	CHERRYMX_HOTSWAP	13.931	3.388	270	top
MXHOTSWAP	SW17A	CHERRYMX_HOTSWAP	13.744	3.388	90	top
MXHOTSWAP	SW18	CHERRYMX_HOTSWAP	1.071	2.638	270	top
MXHOTSWAP	SW18A	CHERRYMX_HOTSWAP	0.884	2.638	90	top
MXHOTSWAP	SW19	CHERRYMX_HOTSWAP	1.820	2.638	0	top
MXHOTSWAP	SW20	CHERRYMX_HOTSWAP	2.570	2.638	0	top
MXHOTSWAP	SW21	CHERRYMX_HOTSWAP	3.320	2.638	0	top
MXHOTSWAP	SW22	CHERRYMX_HOTSWAP	4.069	2.638	0	top
MXHOTSWAP	SW23	CHERRYMX_HOTSWAP	4.819	2.638	0	top
MXHOTSWAP	SW24	CHERRYMX_HOTSWAP	5.569	2.638	0	top
MXHOTSWAP	SW25	CHERRYMX_HOTSWAP	6.318	2.638	0	top
MXHOTSWAP	SW26	CHERRYMX_HOTSWAP	7.068	2.638	0	top
MXHOTSWAP	SW27	CHERRYMX_HOTSWAP	7.817	2.638	0	top
MXHOTSWAP	SW28	CHERRYMX_HOTSWAP	8.567	2.638	0	top
MXHOTSWAP	SW29	CHERRYMX_HOTSWAP	9.317	2.638	0	top
MXHOTSWAP	SW30	CHERRYMX_HOTSWAP	10.066	2.638	0	top
MXHOTSWAP	SW31	CHERRYMX_HOTSWAP	10.816	2.638	0	top
MXHOTSWAP	SW32	CHERRYMX_HOTSWAP	11.565	2.638	90	top
MXHOTSWAP	SW32A	CHERRYMX_HOTSWAP	11.752	2.638	270	top
MXHOTSWAP	SW33	CHERRYMX_HOTSWAP	13.931	2.638	270	top
MXHOTSWAP	SW33A	CHERRYMX_HOTSWAP	13.744	2.638	90	top
MXHOTSWAP	SW34	CHERRYMX_HOTSWAP	0.504	1.888	0	top
MX+LEDHSWP	SW35	CHERRYMX_HSWP_LD	1.254	1.888	0	top
MXHOTSWAP	SW36	CHERRYMX_HOTSWAP	2.003	1.888	0	top
MXHOTSWAP	SW37	CHERRYMX_HOTSWAP	2.753	1.888	0	top
MXHOTSWAP	SW38	CHERRYMX_HOTSWAP	3.502	1.888	0	top
MXHOTSWAP	SW39	CHERRYMX_HOTSWAP	4.252	1.888	0	top
MXHOTSWAP	SW40	CHERRYMX_HOTSWAP	5.002	1.888	0	top
MXHOTSWAP	SW41	CHERRYMX_HOTSWAP	5.751	1.888	0	top
MXHOTSWAP	SW42	CHERRYMX_HOTSWAP	6.501	1.888	0	top
MXHOTSWAP	SW43	CHERRYMX_HOTSWAP	7.250	1.888	0	top
MXHOTSWAP	SW44	CHERRYMX_HOTSWAP	8.000	1.888	0	top
MXHOTSWAP	SW45	CHERRYMX_HOTSWAP	8.750	1.888	0	top
MXHOTSWAP	SW46	CHERRYMX_HOTSWAP	9.499	1.888	0	top
MXHOTSWAP	SW47	CHERRYMX_HOTSWAP	10.249	1.888	0	top
MXHOTSWAP	SW48	CHERRYMX_HOTSWAP	11.373	1.888	0	top
MXHOTSWAP	SW49	CHERRYMX_HOTSWAP	13.931	1.888	270	top
MXHOTSWAP	SW49A	CHERRYMX_HOTSWAP	13.744	1.888	90	top
MXHOTSWAP	SW50	CHERRYMX_HOTSWAP	0.504	1.138	0	top
MXHOTSWAP	SW51	CHERRYMX_HOTSWAP	1.628	1.138	270	top
MXHOTSWAP	SW51A	CHERRYMX_HOTSWAP	1.441	1.138	90	top
MXHOTSWAP	SW52	CHERRYMX_HOTSWAP	2.378	1.138	0	top
MXHOTSWAP	SW53	CHERRYMX_HOTSWAP	3.128	1.138	0	top
MXHOTSWAP	SW54	CHERRYMX_HOTSWAP	3.877	1.138	0	top
MXHOTSWAP	SW55	CHERRYMX_HOTSWAP	4.627	1.138	0	top
MXHOTSWAP	SW56	CHERRYMX_HOTSWAP	5.376	1.138	0	top
MXHOTSWAP	SW57	CHERRYMX_HOTSWAP	6.126	1.138	0	top
MXHOTSWAP	SW58	CHERRYMX_HOTSWAP	6.876	1.138	0	top
MXHOTSWAP	SW59	CHERRYMX_HOTSWAP	7.625	1.138	0	top
MXHOTSWAP	SW60	CHERRYMX_HOTSWAP	8.375	1.138	0	top
MXHOTSWAP	SW61	CHERRYMX_HOTSWAP	9.124	1.138	0	top
MXHOTSWAP	SW62	CHERRYMX_HOTSWAP	10.249	1.138	270	top
MXHOTSWAP	SW62A	CHERRYMX_HOTSWAP	10.062	1.138	90	top
MXHOTSWAP	SW63	CHERRYMX_HOTSWAP	10.998	1.138	0	top
MXHOTSWAP	SW64	CHERRYMX_HOTSWAP	11.748	1.138	0	top
MXHOTSWAP	SW65	CHERRYMX_HOTSWAP	13.931	1.138	270	top
MXHOTSWAP	SW65A	CHERRYMX_HOTSWAP	13.744	1.138	90	top
MXHOTSWAP	SW66	CHERRYMX_HOTSWAP	5.566	0.388	0	top
MXHOTSWAP	SW67	CHERRYMX_HOTSWAP	2.566	0.388	0	top
MXHOTSWAP	SW68	CHERRYMX_HOTSWAP	8.566	0.388	0	top
OPEN_SOURCE_HW	U$90	OPENHW	12.260	0.114	0	top
	U$92	KCAP_1_5U	13.744	3.388	0	top
	U$93	KCAP_1_5U	13.744	2.638	0	top
	U$94	KCAP_1_5U	13.744	1.888	0	top
	U$95	KCAP_1_5U	13.744	1.138	0	top
	U$96	KCAP_1_5U	10.062	1.138	0	top
	U$97	KCAP_1_5U	0.884	2.638	0	top
	U$98	KCAP_1_5U	1.441	1.138	0	top
	U$99	KCAP_1U	2.566	0.388	0	top
	U$100	KCAP_1U	8.566	0.388	0	top
	U$101	KCAP_1U	0.693	3.388	0	top
	U$102	KCAP_1U	11.937	3.388	0	top
	U$103	KCAP_1U	11.748	1.138	0	top
	U$104	KCAP_7U	5.566	0.388	0	top
	U$105	KCAP_2U	11.373	1.888	0	top
	U$106	KCAP_1_5U	11.752	2.638	0	top
	U$107	KCAP_1U	0.504	1.888	0	top
	U$108	KCAP_1U	0.504	1.138	0	top
	U$109	KCAP_1U	1.443	3.388	0	top
	U$110	KCAP_1U	2.192	3.388	0	top
	U$111	KCAP_1U	2.942	3.388	0	top
	U$112	KCAP_1U	3.691	3.388	0	top
	U$113	KCAP_1U	4.441	3.388	0	top
	U$114	KCAP_1U	5.191	3.388	0	top
	U$115	KCAP_1U	5.940	3.388	0	top
	U$116	KCAP_1U	6.690	3.388	0	top
	U$117	KCAP_1U	7.439	3.388	0	top
	U$118	KCAP_1U	8.189	3.388	0	top
	U$119	KCAP_1U	8.939	3.388	0	top
	U$120	KCAP_1U	9.688	3.388	0	top
	U$121	KCAP_1U	10.438	3.388	0	top
	U$122	KCAP_1U	11.187	3.388	0	top
	U$123	KCAP_1U	1.820	2.638	0	top
	U$124	KCAP_1U	2.570	2.638	0	top
	U$125	KCAP_1U	3.320	2.638	0	top
	U$126	KCAP_1U	4.069	2.638	0	top
	U$127	KCAP_1U	4.819	2.638	0	top
	U$128	KCAP_1U	5.569	2.638	0	top
	U$129	KCAP_1U	6.318	2.638	0	top
	U$130	KCAP_1U	7.068	2.638	0	top
	U$131	KCAP_1U	7.817	2.638	0	top
	U$132	KCAP_1U	8.567	2.638	0	top
	U$133	KCAP_1U	9.317	2.638	0	top
	U$134	KCAP_1U	10.066	2.638	0	top
	U$135	KCAP_1U	10.816	2.638	0	top
	U$136	KCAP_1U	2.003	1.888	0	top
	U$137	KCAP_1U	2.753	1.888	0	top
	U$138	KCAP_1U	3.502	1.888	0	top
	U$139	KCAP_1U	4.252	1.888	0	top
	U$140	KCAP_1U	5.002	1.888	0	top
	U$141	KCAP_1U	5.751	1.888	0	top
	U$142	KCAP_1U	6.501	1.888	0	top
	U$143	KCAP_1U	7.250	1.888	0	top
	U$144	KCAP_1U	8.000	1.888	0	top
	U$145	KCAP_1U	8.750	1.888	0	top
	U$146	KCAP_1U	9.499	1.888	0	top
	U$147	KCAP_1U	10.249	1.888	0	top
	U$148	KCAP_1U	1.254	1.888	0	top
	U$149	KCAP_1U	2.378	1.138	0	top
	U$150	KCAP_1U	3.128	1.138	0	top
	U$151	KCAP_1U	3.877	1.138	0	top
	U$152	KCAP_1U	4.627	1.138	0	top
	U$153	KCAP_1U	5.376	1.138	0	top
	U$154	KCAP_1U	6.126	1.138	0	top
	U$155	KCAP_1U	6.876	1.138	0	top
	U$156	KCAP_1U	7.625	1.138	0	top
	U$157	KCAP_1U	8.375	1.138	0	top
	U$158	KCAP_1U	9.124	1.138	0	top
	U$159	KCAP_1U	10.998	1.138	0	top
	U$161	2LAYER	0.091	0.238	90	top
	U$162	PCB-TITLE/	-0.006	5.063	0	top
	U$164	C64_KEYS	0.544	0.104	0	top
	U$172	STABIL_PIN_SCREW_L	10.905	1.888	0	top
	U$173	STABIL_PIN_SCREW	11.842	1.887	0	top
	U$174	STABIL_PIN_SCREW	3.316	0.388	180	top
	U$175	STABIL_PIN_SCREW_L	7.816	0.388	180	top
	U$176	64KB	0.150	0.453	0	top
	U$178	SVEN_TAG	12.579	0.827	0	top
	U$180	STABIL_PIN_SCREW	3.106	0.388	180	top
	U$181	STABIL_PIN_SCREW_L	8.027	0.388	180	top
