Pick'n'place coordinates exported from Keyboard_C64.brd on 11.07.2026 18:37

Value	Name	Footprint	x(mm)	y(mm)	theta	Side
	U$141	KCAP_1U	146.080	47.950	0	top
	U$142	KCAP_1U	165.120	47.950	0	top
	U$143	KCAP_1U	184.160	47.950	0	top
	U$144	KCAP_1U	203.200	47.950	0	top
	U$145	KCAP_1U	222.240	47.950	0	top
	U$146	KCAP_1U	241.280	47.950	0	top
	U$147	KCAP_1U	260.320	47.950	0	top
	U$148	KCAP_1U	31.840	47.950	0	top
	U$149	KCAP_1U	60.400	28.900	0	top
	U$150	KCAP_1U	79.440	28.900	0	top
	U$151	KCAP_1U	98.480	28.900	0	top
	U$152	KCAP_1U	117.520	28.900	0	top
	U$153	KCAP_1U	136.560	28.900	0	top
	U$154	KCAP_1U	155.600	28.900	0	top
	U$155	KCAP_1U	174.640	28.900	0	top
	U$156	KCAP_1U	193.680	28.900	0	top
	U$157	KCAP_1U	212.720	28.900	0	top
	U$158	KCAP_1U	231.760	28.900	0	top
	U$159	KCAP_1U	279.360	28.900	0	top
	U$161	2LAYER	2.321	6.051	90	top
	U$162	PCB-TITLE/	-0.159	128.588	0	top
	U$164	C64_KEYS	13.828	2.649	0	top
	U$172	STABIL_PIN_SCREW_L	276.980	47.950	0	top
	U$173	STABIL_PIN_SCREW	300.780	47.943	0	top
	U$174	STABIL_PIN_SCREW	84.230	9.850	180	top
	U$175	STABIL_PIN_SCREW_L	198.530	9.850	180	top
	U$176	64KB	3.800	11.500	0	top
	U$178	SVEN_TAG	319.500	21.000	0	top
	U$180	STABIL_PIN_SCREW	78.880	9.850	180	top
	U$181	STABIL_PIN_SCREW_L	203.880	9.850	180	top
