"Designator";"Mid X";"Mid Y";"Layer";"Rotation";"Footprint"
"U$117";"188.960mm";"86.050mm";"top";"0";"KCAP_1U"
"U$118";"208.000mm";"86.050mm";"top";"0";"KCAP_1U"
"U$119";"227.040mm";"86.050mm";"top";"0";"KCAP_1U"
"U$120";"246.080mm";"86.050mm";"top";"0";"KCAP_1U"
"U$121";"265.120mm";"86.050mm";"top";"0";"KCAP_1U"
"U$122";"284.160mm";"86.050mm";"top";"0";"KCAP_1U"
"U$123";"46.240mm";"67.000mm";"top";"0";"KCAP_1U"
"U$124";"65.280mm";"67.000mm";"top";"0";"KCAP_1U"
"U$125";"84.320mm";"67.000mm";"top";"0";"KCAP_1U"
"U$126";"103.360mm";"67.000mm";"top";"0";"KCAP_1U"
"U$127";"122.400mm";"67.000mm";"top";"0";"KCAP_1U"
"U$128";"141.440mm";"67.000mm";"top";"0";"KCAP_1U"
"U$129";"160.480mm";"67.000mm";"top";"0";"KCAP_1U"
"U$130";"179.520mm";"67.000mm";"top";"0";"KCAP_1U"
"U$131";"198.560mm";"67.000mm";"top";"0";"KCAP_1U"
"U$132";"217.600mm";"67.000mm";"top";"0";"KCAP_1U"
"U$133";"236.640mm";"67.000mm";"top";"0";"KCAP_1U"
"U$134";"255.680mm";"67.000mm";"top";"0";"KCAP_1U"
"U$135";"274.720mm";"67.000mm";"top";"0";"KCAP_1U"
"U$136";"50.880mm";"47.950mm";"top";"0";"KCAP_1U"
"U$137";"69.920mm";"47.950mm";"top";"0";"KCAP_1U"
"U$138";"88.960mm";"47.950mm";"top";"0";"KCAP_1U"
"U$139";"108.000mm";"47.950mm";"top";"0";"KCAP_1U"
"U$140";"127.040mm";"47.950mm";"top";"0";"KCAP_1U"
"U$141";"146.080mm";"47.950mm";"top";"0";"KCAP_1U"
"U$142";"165.120mm";"47.950mm";"top";"0";"KCAP_1U"
"U$143";"184.160mm";"47.950mm";"top";"0";"KCAP_1U"
"U$144";"203.200mm";"47.950mm";"top";"0";"KCAP_1U"
"U$145";"222.240mm";"47.950mm";"top";"0";"KCAP_1U"
"U$146";"241.280mm";"47.950mm";"top";"0";"KCAP_1U"
"U$147";"260.320mm";"47.950mm";"top";"0";"KCAP_1U"
"U$148";"31.840mm";"47.950mm";"top";"0";"KCAP_1U"
"U$149";"60.400mm";"28.900mm";"top";"0";"KCAP_1U"
"U$150";"79.440mm";"28.900mm";"top";"0";"KCAP_1U"
"U$151";"98.480mm";"28.900mm";"top";"0";"KCAP_1U"
"U$152";"117.520mm";"28.900mm";"top";"0";"KCAP_1U"
"U$153";"136.560mm";"28.900mm";"top";"0";"KCAP_1U"
"U$154";"155.600mm";"28.900mm";"top";"0";"KCAP_1U"
"U$155";"174.640mm";"28.900mm";"top";"0";"KCAP_1U"
"U$156";"193.680mm";"28.900mm";"top";"0";"KCAP_1U"
"U$157";"212.720mm";"28.900mm";"top";"0";"KCAP_1U"
"U$158";"231.760mm";"28.900mm";"top";"0";"KCAP_1U"
"U$159";"279.360mm";"28.900mm";"top";"0";"KCAP_1U"
"U$161";"2.321mm";"6.051mm";"top";"90";"2LAYER"
"U$162";"-0.159mm";"128.588mm";"top";"0";"PCB-TITLE/"
"U$164";"13.828mm";"2.649mm";"top";"0";"C64_KEYS"
"U$172";"276.980mm";"47.950mm";"top";"0";"STABIL_PIN_SCREW_L"
"U$173";"300.780mm";"47.943mm";"top";"0";"STABIL_PIN_SCREW"
"U$174";"84.230mm";"9.850mm";"top";"180";"STABIL_PIN_SCREW"
"U$175";"198.530mm";"9.850mm";"top";"180";"STABIL_PIN_SCREW_L"
"U$176";"3.800mm";"11.500mm";"top";"0";"64KB"
"U$178";"319.500mm";"21.000mm";"top";"0";"SVEN_TAG"
"U$180";"78.880mm";"9.850mm";"top";"180";"STABIL_PIN_SCREW"
"U$181";"203.880mm";"9.850mm";"top";"180";"STABIL_PIN_SCREW_L"
